producer_module,file_path,interaction_type,line_number,matched_symbol,code_context
cycle,tests/test_labels_integration.py,import,11,label_cycle,from app.ml.labels.cycle import label_cycle
regime,tests/test_labels_integration.py,call,27,label_regime,"r = label_regime(df, params={'verbose': False, 'seed': 0})"
reversal,tests/test_labels_integration.py,call,28,label_reversal,"rev = label_reversal(df, params={'verbose': False, 'seed': 0})"
cycle,tests/test_labels_integration.py,call,29,label_cycle,"cyc = label_cycle(df, params={'method': 'discrete', ...})"
time_cycle,app/ml/labels/regime.py,feature_reference,65,tc_atr,"atr_col = params.get('atr_col', 'tc_atr')"
time_cycle,app/ml/labels/regime.py,feature_reference,66,tc_adx,"adx_col = params.get('adx_col', 'tc_adx')"
time_cycle,app/ml/labels/regime.py,feature_reference,68,tc_trend_strength,"trend_strength_col = params.get('trend_strength_col', 'tc_trend_strength')"
time_cycle,app/ml/labels/regime.py,feature_reference,70,tc_vol_comp_ratio,"vol_comp_col = params.get('vol_comp_col', 'tc_vol_comp_ratio')"
time_cycle,app/ml/labels/reversal.py,feature_reference,89,tc_atr,"'tc_atr',"
time_cycle,app/ml/labels/reversal.py,feature_reference,90,tc_rsi_14,"'tc_rsi_14',"
microstructure,app/ml/labels/reversal.py,feature_reference,91,ms_micro_divergence,"'ms_micro_divergence',"
microstructure,app/ml/labels/reversal.py,feature_reference,92,ms_sweep_flag,"'ms_sweep_flag',"
microstructure,app/ml/labels/reversal.py,feature_reference,93,ms_absorption_flag,"'ms_absorption_flag',"
microstructure,app/ml/labels/reversal.py,feature_reference,94,ms_aggression_idx,"'ms_aggression_idx',"
microstructure,app/ml/labels/reversal.py,feature_reference,95,ms_mid,"'ms_mid',"
microstructure,app/ml/labels/reversal.py,feature_reference,96,ms_spread,"'ms_spread',"
microstructure,app/ml/labels/reversal.py,feature_reference,97,ms_microtrend_vector,"'ms_microtrend_vector',"
